marca,grupo,tipo_vinculo,fuente,fecha_verificacion,estado
tiffany,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
timberland,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
titan-dynamics-contour,Independiente,propia,"silhouette.com — 'Titan Dynamics' es colección de Silhouette, NO la marca india Titan",2026-08-04,verificado
titan-purist,Independiente,propia,silhouette.com — colección de Silhouette (familia Titan Minimal Art / Dynamics / Purist),2026-08-04,verificado
tom-ford,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
tommy-hilfiger,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
tory-burch,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
tous,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
trussardi,GO Eyewear Group,licencia,"lookvision.es / imopticas.es — licencia exclusiva multianual, sustituye a Charmant",2026-08-01,verificado
tumi,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
twinset,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
under-armour,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
unofficial,GrandVision (retailer),marca_blanca,optica2000.com (catálogo),2026-08-01,verificado
valentino,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
ver-sport,PENDIENTE,,Probable marca propia de General Óptica; su página va por JS y no se ha podido confirmar. 5 fichas.,,sin_verificar
versace,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
victor-hugo,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
victoria-beckham,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
vivienne-westwood,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
vogart,De Rigo,propia,laempresafamiliar.com — Vogart es marca de De Rigo; su filial española es Vogart Line,2026-08-04,verificado_prensa
vogue,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
vuillet-vega,Independiente,propia,parisee.com / europages — fabricante familiar francés en Morez (Jura) desde 1843,2026-08-04,verificado
web,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
xl,PENDIENTE,,Probable marca propia de General Óptica; sin confirmar. 4 fichas.,,sin_verificar
yalea,De Rigo,propia,derigo.com/en/our-brands/,2026-08-01,verificado
yves-saint-laurent,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
zadig-voltaire,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
zeal-optics,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
zegna,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
